user_id,signup_date,plan,monthly_revenue,churned,sessions_last_month
1,2023-01-31,Basic,20,0,12
2,2023-12-30,Basic,20,0,14
3,2022-05-10,Enterprise,120,0,9
4,2023-07-18,Free,0,1,5
5,2023-02-04,Free,0,0,1
6,2022-12-31,Free,0,0,1
7,2022-11-10,Free,0,1,5
8,2020-05-01,Free,0,1,2
9,2021-04-11,Basic,20,0,12
10,2023-05-23,Free,0,1,1
11,2020-11-26,Free,0,1,3
12,2020-03-28,Pro,50,1,9
13,2023-10-28,Free,0,1,5
14,2023-01-28,Free,0,0,4
15,2022-05-21,Free,0,0,4
16,2020-05-10,Enterprise,120,0,9
17,2023-08-25,Free,0,0,4
18,2022-02-08,Pro,50,1,4
19,2020-12-09,Pro,50,0,11
20,2023-12-08,Free,0,1,1
21,2022-03-16,Enterprise,120,0,11
22,2021-01-20,Free,0,0,5
23,2023-04-30,Free,0,0,6
24,2022-08-13,Pro,50,0,9
25,2020-10-03,Pro,50,1,5
26,2023-03-30,Basic,20,0,14
27,2021-04-04,Free,0,0,4
28,2023-08-30,Basic,20,0,14
29,2020-01-22,Pro,50,1,11
30,2020-09-09,Free,0,1,5
31,2022-01-17,Free,0,0,2
32,2022-05-06,Free,0,1,3
33,2021-04-19,Free,0,1,3
34,2022-12-18,Pro,50,0,19
35,2021-05-25,Basic,20,1,14
36,2021-11-30,Enterprise,120,0,11
37,2022-09-02,Free,0,1,3
38,2020-07-08,Pro,50,0,14
39,2022-08-15,Free,0,0,1
40,2021-11-17,Free,0,0,3
41,2022-08-15,Free,0,1,2
42,2021-07-16,Free,0,1,6
43,2023-06-21,Basic,20,0,10
44,2022-04-11,Enterprise,120,0,8
45,2023-02-28,Basic,20,1,9
46,2021-10-08,Free,0,0,4
47,2020-01-21,Free,0,1,5
48,2022-04-20,Free,0,1,2
49,2020-06-15,Basic,20,1,14
50,2023-07-21,Pro,50,0,11
51,2021-01-22,Enterprise,120,0,8
52,2021-08-23,Free,0,1,3
53,2020-11-11,Basic,20,0,15
